dataset,model,seed,epoch,loss,train_r2,valid_r2,path
ppb,PyG_GAT_h128_e100,44,1,0.9032342744830214,0.0970452126410739,0.0282612118480715,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,2,0.8627541664941811,0.1847924954825682,0.072319713247268,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,3,0.8298416632561036,0.1798380917775124,0.0418874660167073,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,4,0.8097201228877644,0.2364060490502362,0.1523743657927724,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,5,0.8039199938008814,0.2251783443633109,0.1543445129808733,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,6,0.7642790853609274,0.1805078435702651,0.0418772219137045,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,7,0.766126862646621,0.2886329762994412,0.1518475519850416,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,8,0.7812901595492422,0.3108504246496978,0.1756582368689565,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,9,0.7401819026764528,0.3118939380981945,0.1857879246229095,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,10,0.7356997678677241,0.2978535866414615,0.1599326110193072,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,11,0.740690506166882,0.2814180961606334,0.1550098772859012,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,12,0.7512283937798606,0.3034715466235475,0.1569279637886039,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,13,0.6978028758808419,0.2519582014700638,0.0735483367321947,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,14,0.7268109674806948,0.3172843959914855,0.1763492686536987,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,15,0.7149638929116873,0.3647009622029549,0.2504428374705389,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,16,0.7024145308468077,0.1385471960804333,0.0352866720455811,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,17,0.698550272135087,0.4165678828034045,0.2811462207476273,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,18,0.6924639136334996,0.3630709881594187,0.2475077719593189,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,19,0.7011696309955032,0.3543994862226322,0.2233338353752357,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,20,0.707669188486941,0.3831697240544836,0.2566689725540817,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,21,0.6910466570177196,0.2866318699147457,0.1326910168993201,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,22,0.7135331283013026,0.3721761702370472,0.2322659489701369,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,23,0.681676905280278,0.3742379848955266,0.228016175113485,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,24,0.6758927296341202,0.3343151613026374,0.1687582761489693,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,25,0.6750727231487815,0.313443809629366,0.1180527479466966,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,26,0.6529544899125158,0.4068497516671117,0.230797130006272,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,27,0.6688066460652116,0.3098338439595073,0.1341070306213151,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,28,0.6598902983062062,0.1926801009014761,0.040374141253348,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,29,0.6826560169826319,0.3100480681037052,0.1571143666718003,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,30,0.6767069158362754,0.3276882175066115,0.1783703820710578,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,31,0.658875635560648,0.3451048668507074,0.1672109234885825,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,32,0.6756746237292702,0.2974884842192435,0.1165976959174918,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,33,0.668890557171386,0.3927302168028929,0.2220441738097892,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,34,0.6586381596179656,0.3255477720012723,0.1659264889235701,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,35,0.6643142246721704,0.3916263441343299,0.2325285642463012,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,36,0.645961457380542,0.3916033248404899,0.2052615950853435,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,37,0.6519448637594412,0.4001495678088742,0.2150037184197329,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,38,0.6445800800014425,0.4482493790494676,0.2562101193981158,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,39,0.6468350232383351,0.315552957875348,0.1122285497677224,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,40,0.6358988752335678,0.4227702492664865,0.2829906534028946,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,41,0.6775672895672881,0.4188181768659323,0.2627098749246546,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,42,0.635370530647996,0.4291645421463548,0.2597696083009208,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,43,0.6317696924562808,0.3624642679234137,0.2121695395728985,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,44,0.6408481507757564,0.4206959236387632,0.2770769160581633,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,45,0.6315347701311111,0.4210628126559202,0.21092411837761,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,46,0.5988101245444498,0.4323285836772162,0.2255435137395169,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,47,0.6326298962036768,0.4655756769005609,0.2448070212901044,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,48,0.6431049798373822,0.3533611909149962,0.1583554505832959,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,49,0.6407767062385877,0.4250714294223122,0.2178521002978272,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,50,0.6245294796463884,0.4541818794205586,0.2653896027166675,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,51,0.6182494579273977,0.350957928022786,0.1414540959912369,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,52,0.6064442248991978,0.4114844575282549,0.21918970648174,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,53,0.62268121191013,0.4028676040961435,0.2123902131818985,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,54,0.6184933483600616,0.4259940214465832,0.1984713090965268,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,55,0.6179399188653922,0.4390176878865033,0.226784148030517,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,56,0.6210672678770842,0.4034013307993072,0.1943114459515361,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,57,0.6159586177931892,0.3333135894825103,0.1075212104458602,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,58,0.6048201294040975,0.4952565410901473,0.2509649271082388,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,59,0.5928359430881194,0.4675102977968512,0.2314076112280879,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,60,0.6181979290681121,0.4477986447919356,0.2200499039875182,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,61,0.6226265161861608,0.447745532127596,0.2149757905566497,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,62,0.6341609601621274,0.382949258009632,0.1448019686192474,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,63,0.6170795580119263,0.4258915068789827,0.2077996580450639,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,64,0.5941068982636487,0.388488857636614,0.1897050968957732,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,44,65,0.6212644426175106,0.510912390410988,0.2758010080776414,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed44/metrics.json
ppb,PyG_GAT_h128_e100,43,1,0.942129284143448,0.0405075575074823,-0.047574771746208,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,2,0.9007476310671112,0.1316245879157349,0.0446118257482732,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,3,0.844684350637742,0.2173453411205864,0.1248535118834984,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,4,0.8279734537189389,0.2050334496320243,0.1097801869330996,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,5,0.8187783511332524,0.1140087553628036,0.034653403981632,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,6,0.819253530215334,0.2826086430564613,0.2249527902591181,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
ppb,PyG_GAT_h128_e100,43,7,0.7589979666618654,0.2442366964781942,0.1474966167373815,/Users/pradyu/Documents/1_Work/2_Research/DeepChem_ML/Project_1/results/ppb/PyG_GAT_h128_e100/seed43/metrics.json
