dataset,model,seed,split,split_name,rmse,mae,r2,train_r2,valid_r2,train_time_sec,n_estimators,epochs,lr,batch_size,best_epoch,freeze_epochs,weight_decay,hidden,arch,picp,mpiw,alpha,n_ensemble,uq_method
ppb,RandomForest_ECFP,42,scaffold,test,1.004199542036167,0.69518147328691,-0.0697432746983868,0.8857136083141472,0.1615564068292508,4.087,200.0,,,,,,,,,,,,,
ppb,RandomForest_ECFP,43,scaffold,test,1.0152766771367665,0.6997449188230564,-0.0934737109836252,0.8824978918919717,0.1739400031556952,5.504,200.0,,,,,,,,,,,,,
ppb,RandomForest_ECFP,44,scaffold,test,1.0198496022154018,0.6971338755550243,-0.1033461617200623,0.8856530857364462,0.1703053160671092,4.966,200.0,,,,,,,,,,,,,
ppb,ChemBERTa_zinc_base_v1,42,scaffold,test,0.9386449586986604,0.6062128283184045,0.0653645822840967,0.8580373088232952,0.3121629804418054,606.726,,10.0,2e-05,16.0,,,,,,,,,,
ppb,ChemBERTa_zinc_base_v1_lr1e-05_e20,42,scaffold,test,0.9267324122052067,0.6006367287848627,0.0889373644614367,0.9090801354605058,0.3180261999657962,1065.113,,20.0,1e-05,32.0,19.0,2.0,0.01,,,,,,,
ppb,ChemBERTa_zinc_base_v1_lr1e-05_e20,43,scaffold,test,0.9082438261627508,0.5868393715893574,0.1249266872063918,0.9036602158766772,0.365148820106619,1077.781,,20.0,1e-05,32.0,19.0,2.0,0.01,,,,,,,
ppb,ChemBERTa_zinc_base_v1_lr1e-05_e20,44,scaffold,test,0.8760470402339877,0.588469398223772,0.185868827544822,0.8273974347884937,0.3425598872089862,1153.951,,20.0,1e-05,32.0,11.0,2.0,0.01,,,,,,,
ppb,XGBoost_ECFP,42,scaffold,test,0.9896498878220732,0.6737997204018547,-0.0389692316213425,0.9175686476829576,0.2406944263934562,0.372,300.0,,,,,,,,,,,,,
ppb,XGBoost_ECFP,43,scaffold,test,0.982040219815202,0.6709035366857137,-0.0230528664656899,0.9139490437294138,0.2484281964419672,0.367,300.0,,,,,,,,,,,,,
ppb,XGBoost_ECFP,44,scaffold,test,1.003178261310432,0.6777076683456837,-0.0675685024614265,0.9195551435491645,0.2772654177137196,0.37,300.0,,,,,,,,,,,,,
ppb,PyG_GIN_h128_e100,42,scaffold,test,0.9523028405217048,0.6942574730312544,0.0379676194137689,0.4727214248922994,0.3014503909305006,222.512,,100.0,0.001,32.0,16.0,,,128.0,gin,,,,,
ppb,PyG_GIN_h128_e100,43,scaffold,test,0.9674516693197904,0.7060801926870934,0.0071169718436719,0.5142388584417152,0.2925014939356019,218.807,,100.0,0.001,32.0,24.0,,,128.0,gin,,,,,
ppb,PyG_GIN_h128_e100,44,scaffold,test,0.9207267042998686,0.6463818656680186,0.1007074216466135,0.5446907840248706,0.2974852534418211,233.995,,100.0,0.001,32.0,28.0,,,128.0,gin,,,,,
ppb,PyG_GCN_h128_e100,42,scaffold,test,0.8771774222932639,0.6156781762996458,0.1837664906682156,0.5262818399249536,0.3228218412078487,289.169,,100.0,0.001,32.0,31.0,,,128.0,gcn,,,,,
ppb,PyG_GCN_h128_e100,43,scaffold,test,0.9065174830168272,0.5882675544585871,0.1282501143827842,0.4173883163419453,0.3248340781013098,155.888,,100.0,0.001,32.0,9.0,,,128.0,gcn,,,,,
ppb,PyG_GCN_h128_e100,44,scaffold,test,0.9102203903223336,0.6259170606557027,0.121113789042387,0.4990300411850816,0.3044642086453262,243.942,,100.0,0.001,32.0,30.0,,,128.0,gcn,,,,,
