model,n,r2_mean,r2_std,rmse_norm_mean,rmse_norm_std,mae_norm_mean,train_r2_mean,valid_r2_mean,rmse_orig_mean,rmse_orig_std,label
Multimodal_ChemBERTa_GCN_GIN_GAT_e20,1,0.2470141310161538,,0.8425072519015797,,0.5308815634875547,0.8855086404110708,0.4467963702452397,13.992774169617627,,ChemBERTa+GCN+GIN+GAT
Multimodal_ChemBERTa_GCN_e20,3,0.23071562794064482,0.07684293708404172,0.8508751943945052,0.04232039719824747,0.5539894153123507,0.7988672877519004,0.4481941754723231,14.131753067785654,0.7028779389459461,ChemBERTa+GCN
Multimodal_ChemBERTa_GIN_e20,3,0.20481116794936272,0.0024458642834543015,0.8657949107796306,0.0013309386261356724,0.5748315306424466,0.8002013362879831,0.4659761329684975,14.37954704413494,0.022104882286892384,ChemBERTa+GIN
TripleGNN_GCN_GIN_GAT_h128_e100,3,0.203900261834056,0.08226740651627634,0.865495345861377,0.045472522020336775,0.5753393130517783,0.5622903025066052,0.38782163240728845,14.374571722865241,0.7552299759051416,GCN+GIN+GAT
Multimodal_ChemBERTa_GAT_e20,3,0.17728021903998237,0.014389198763175187,0.8806332693863896,0.007716838996162865,0.585931834207614,0.7382386399952092,0.4395468827881672,14.625989790548756,0.1281650515563987,ChemBERTa+GAT
PyG_GAT_h128_e100,3,0.14479507757060364,0.043474158960906735,0.8976808077591741,0.022802822666151842,0.5680108203939755,0.43632335366646674,0.2864127665786291,14.909123679378629,0.37872047662157643,GAT
PyG_GCN_h128_e100,3,0.14437679803112893,0.03429858159420181,0.8979717652108082,0.018103353381559287,0.6099542638046452,0.4809000658173268,0.31737337598482823,14.913956043615844,0.3006693829746817,GCN
ChemBERTa_zinc_base_v1_lr1e-05_e20,3,0.1332442930708835,0.04899810260978676,0.9036744262006483,0.025649781577538916,0.5919818328659974,0.8800459287085589,0.3419116357604672,15.008668637740842,0.4260041682780056,ChemBERTa
PyG_GIN_h128_e100,3,0.04859733763468477,0.047692098461603535,0.9468270713804546,0.02383890989106741,0.6822398437954554,0.510550355786295,0.29714571276930785,15.725368959856533,0.3959283220443277,GIN
XGBoost_ECFP,3,-0.043196866849486294,0.022556931013391686,0.9916227896492358,0.010706234435049202,0.6741369751444174,0.917024278320512,0.2554626801830477,16.46935824669782,0.17781439900784116,XGBoost + ECFP
RandomForest_ECFP,3,-0.0888543824673581,0.017271136355311738,1.013108607129445,0.008047141826195457,0.6973534225549969,0.8846215286475217,0.16860057535068507,16.826205254449526,0.13365088315939072,RF + ECFP
