dataset,model,seed,split,split_name,rmse,mae,r2,train_r2,valid_r2,train_time_sec,n_estimators,epochs,lr,batch_size,best_epoch,freeze_epochs,weight_decay,hidden,arch,picp,mpiw,alpha,n_ensemble,uq_method
ppb,RandomForest_ECFP,42,scaffold,test,1.004199542036167,0.69518147328691,-0.0697432746983868,0.8857136083141472,0.1615564068292508,4.087,200.0,,,,,,,,,,,,,
ppb,RandomForest_ECFP,43,scaffold,test,1.0152766771367665,0.6997449188230564,-0.0934737109836252,0.8824978918919717,0.1739400031556952,5.504,200.0,,,,,,,,,,,,,
ppb,RandomForest_ECFP,44,scaffold,test,1.0198496022154018,0.6971338755550243,-0.1033461617200623,0.8856530857364462,0.1703053160671092,4.966,200.0,,,,,,,,,,,,,
hppb,RandomForest_ECFP,42,scaffold,test,1.004199542036167,0.69518147328691,-0.0697432746983868,0.8857136083141472,0.1615564068292508,3.595,200.0,,,,,,,,,,,,,
hppb,RandomForest_ECFP,43,scaffold,test,1.0152766771367665,0.6997449188230564,-0.0934737109836254,0.8824978918919717,0.1739400031556952,3.531,200.0,,,,,,,,,,,,,
hppb,RandomForest_ECFP,44,scaffold,test,1.0198496022154018,0.6971338755550243,-0.1033461617200623,0.8856530857364462,0.1703053160671092,3.867,200.0,,,,,,,,,,,,,
hopv,RandomForest_ECFP,42,scaffold,test,0.7438879360808968,0.5481561706141121,0.3958542634156012,0.9145689857821332,0.4198910715460118,0.336,200.0,,,,,,,,,,,,,
hopv,RandomForest_ECFP,43,scaffold,test,0.7367628843243614,0.5394171856130539,0.4080457019186491,0.9178852080130764,0.389222676361006,0.279,200.0,,,,,,,,,,,,,
hopv,RandomForest_ECFP,44,scaffold,test,0.7386206810441157,0.5372016423112361,0.4041867982431656,0.9165959607509986,0.3914582033108467,0.342,200.0,,,,,,,,,,,,,
clearance,RandomForest_ECFP,42,scaffold,test,0.9282147788370648,0.7365769565354722,0.1684204213517295,0.9083414413402416,0.2284408135431348,1.576,200.0,,,,,,,,,,,,,
clearance,RandomForest_ECFP,43,scaffold,test,0.9443886493547764,0.7477141515035024,0.1391878758722082,0.9055367383588764,0.2298779562028954,1.233,200.0,,,,,,,,,,,,,
clearance,RandomForest_ECFP,44,scaffold,test,0.9517257602483676,0.7549961312352232,0.1257603351026157,0.9055748050739676,0.237230153457545,1.431,200.0,,,,,,,,,,,,,
ppb,ChemBERTa_zinc_base_v1,42,scaffold,test,0.9386449586986604,0.6062128283184045,0.0653645822840967,0.8580373088232952,0.3121629804418054,606.726,,10.0,2e-05,16.0,,,,,,,,,,
hopv,ChemBERTa_zinc_base_v1,42,scaffold,test,0.8495233138657454,0.6465527009917423,0.2187127807533376,0.7334452452548532,0.3565937537693603,132.302,,10.0,2e-05,16.0,,,,,,,,,,
clearance,ChemBERTa_zinc_base_v1,42,scaffold,test,0.91950780961931,0.7330709884131682,0.1839482230480847,0.3084639255978958,0.0865287679139834,314.005,,10.0,2e-05,16.0,,,,,,,,,,
ppb,ChemBERTa_zinc_base_v1_lr1e-05_e20,42,scaffold,test,0.9267324122052067,0.6006367287848627,0.0889373644614367,0.9090801354605058,0.3180261999657962,1065.113,,20.0,1e-05,32.0,19.0,2.0,0.01,,,,,,,
ppb,ChemBERTa_zinc_base_v1_lr1e-05_e20,43,scaffold,test,0.9082438261627508,0.5868393715893574,0.1249266872063918,0.9036602158766772,0.365148820106619,1077.781,,20.0,1e-05,32.0,19.0,2.0,0.01,,,,,,,
